Year,Administration,Debt ($T),Debt/GDP (%),GDP ($T),GDP Change ($T),Real GDP Growth (%),Inflation (%),Unemployment (%),Deficit ($T),Interest ($T)
1993,Clinton,4.4,47.8,6.8,,2.7,3.0,6.9,-0.25,0.3
1994,Clinton,4.7,48.0,7.3,0.5,4.0,2.6,6.1,-0.20,0.3
1995,Clinton,5.0,48.0,7.6,0.3,2.7,2.8,5.6,-0.16,0.3
1996,Clinton,5.2,46.7,8.1,0.5,3.8,3.0,5.4,-0.11,0.3
1997,Clinton,5.4,44.7,8.6,0.5,4.4,2.3,4.9,-0.02,0.4
1998,Clinton,5.5,41.7,9.1,0.5,4.5,1.6,4.5,0.07,0.4
1999,Clinton,5.7,38.2,9.6,0.5,4.8,2.2,4.2,0.13,0.4
2000,Clinton,5.6,33.7,10.3,0.7,4.1,3.4,4.0,0.24,0.4
2001,Bush,5.8,54.9,10.6,0.3,1.0,2.8,4.7,-0.1,0.3
2002,Bush,6.2,56.8,10.9,0.4,1.7,1.6,5.8,-0.2,0.3
2003,Bush,6.8,58.6,11.5,0.5,2.9,2.3,6.0,-0.4,0.3
2004,Bush,7.4,59.4,12.2,0.8,3.8,2.7,5.5,-0.4,0.4
2005,Bush,7.9,60.0,13.0,0.8,3.5,3.4,5.1,-0.3,0.4
2006,Bush,8.5,60.8,13.8,0.8,2.8,3.2,4.6,-0.2,0.4
2007,Bush,9.0,62.0,14.5,0.7,2.0,2.9,4.6,-0.2,0.4
2008,Bush,10.0,68.1,14.8,0.3,0.1,3.8,5.8,-0.5,0.5
2009,Obama,11.9,82.8,14.5,-0.3,-2.6,-0.4,9.3,-1.4,0.2
2010,Obama,13.5,93.2,15.0,0.6,2.7,1.6,9.6,-1.3,0.2
2011,Obama,14.8,97.3,15.6,0.6,1.6,3.2,9.0,-1.3,0.2
2012,Obama,16.1,101.7,16.3,0.7,2.3,2.1,8.1,-1.1,0.2
2013,Obama,16.7,103.5,16.9,0.6,1.8,1.5,7.4,-0.7,0.2
2014,Obama,17.8,104.6,17.6,0.7,2.7,1.6,6.2,-0.5,0.4
2015,Obama,18.1,104.7,18.3,0.7,3.1,0.1,5.3,-0.4,0.4
2016,Obama,19.5,106.4,18.8,0.5,1.7,1.3,4.9,-0.6,0.4
2017,Trump,20.2,105.9,19.6,0.8,2.5,2.1,4.4,-0.7,0.5
2018,Trump,21.5,106.7,20.7,1.0,3.1,2.4,3.9,-0.8,0.5
2019,Trump,22.7,107.9,21.5,0.9,2.3,1.8,3.7,-1.0,0.6
2020,Trump,26.9,126.3,21.4,-0.2,-2.2,1.2,8.1,-3.1,0.5
2021,Biden,28.4,119.6,23.7,2.4,6.1,4.7,5.4,-2.8,0.4
2022,Biden,30.8,118.4,26.1,2.3,2.5,8.0,3.7,-1.4,0.5
2023,Biden,33.0,118.6,27.8,1.8,2.9,4.1,3.6,-1.7,0.7
2024,Biden,35.2,120.2,29.3,1.5,2.8,2.9,4.0,-1.8,0.9
2025,Trump,37.4,121.5,30.8,1.5,2.1,2.7,4.2,-1.8,1.2
